machine,test,level,name,npe,real,comm_avg,speed
MareNostrum 5,mpi-laplacian,8,poisson,224,0.0752718,0.0237253,222888000.0
MareNostrum 5,mpi-laplacian,8,poisson,448,0.0431161,0.021555,389117000.0
MareNostrum 5,mpi-laplacian,8,poisson,896,0.0177985,0.0113778,942620000.0
MareNostrum 5,mpi-laplacian,8,poisson,1792,0.0164955,0.0136956,1017080000.0
MareNostrum 5,mpi-laplacian,8,refine,112,1.37114,0.875867,12235900.0
MareNostrum 5,mpi-laplacian,8,refine,224,0.999285,0.70344,16789200.0
MareNostrum 5,mpi-laplacian,8,refine,448,1.37233,1.14757,12225300.0
MareNostrum 5,mpi-laplacian,8,refine,896,2.87665,2.55118,5832210.0
MareNostrum 5,mpi-laplacian,8,refine,1792,7.17569,6.58749,2338060.0
MareNostrum 5,mpi-laplacian,8,restriction,112,0.00705483,0.00251934,2378120000.0
MareNostrum 5,mpi-laplacian,8,restriction,224,0.00388212,0.00166509,4321660000.0
MareNostrum 5,mpi-laplacian,8,restriction,448,0.00133695,0.000910588,12548900000.0
MareNostrum 5,mpi-laplacian,8,restriction,896,0.000356521,0.00028458,47058200000.0
MareNostrum 5,mpi-laplacian,8,restriction,1792,0.000215586,0.000192451,77821500000.0
MareNostrum 5,mpi-laplacian,8,sum,112,0.0046854,0.0,3580740000.0
MareNostrum 5,mpi-laplacian,8,sum,224,0.00242182,0.0,6927530000.0
MareNostrum 5,mpi-laplacian,8,sum,448,0.000965353,0.0,17379400000.0
MareNostrum 5,mpi-laplacian,8,sum,896,0.000168494,0.0,99571700000.0
MareNostrum 5,mpi-laplacian,8,sum,1792,6.25872e-05,0.0,268061000000.0
MareNostrum 5,mpi-laplacian,9,cos,2,2.82716,0.0148197,47474300.0
MareNostrum 5,mpi-laplacian,9,cos,4,1.5033,0.0720148,89281900.0
MareNostrum 5,mpi-laplacian,9,cos,8,0.997422,0.106582,134565000.0
MareNostrum 5,mpi-laplacian,9,cos,16,0.414559,0.0632253,323760000.0
MareNostrum 5,mpi-laplacian,9,cos,32,0.173342,0.0339319,774293000.0
MareNostrum 5,mpi-laplacian,9,cos,64,0.0867497,0.00617826,1547180000.0
MareNostrum 5,mpi-laplacian,9,cos,112,0.0791981,0.0149201,1694710000.0
MareNostrum 5,mpi-laplacian,9,cos,128,0.0814483,0.0412143,1647890000.0
MareNostrum 5,mpi-laplacian,9,cos,224,0.0425327,0.0102478,3155640000.0
MareNostrum 5,mpi-laplacian,9,cos,256,0.0251689,0.00209115,5332680000.0
MareNostrum 5,mpi-laplacian,9,cos,448,0.0174096,0.00164253,7709390000.0
MareNostrum 5,mpi-laplacian,9,cos,512,0.0150844,0.00218095,8897760000.0
MareNostrum 5,mpi-laplacian,9,cos,896,0.0118558,0.00414013,11320800000.0
MareNostrum 5,mpi-laplacian,9,cos,1024,0.00735539,0.00103388,18247500000.0
MareNostrum 5,mpi-laplacian,9,cos,1792,0.00472927,0.000960102,28380200000.0
MareNostrum 5,mpi-laplacian,9,cos,2048,0.00539979,0.00231733,24856100000.0
MareNostrum 5,mpi-laplacian,9,cos,3584,0.002938,0.0013889,45683400000.0
MareNostrum 5,mpi-laplacian,9,cos,4096,0.00244115,0.00123662,54981400000.0
MareNostrum 5,mpi-laplacian,9,cos,8192,0.00181959,0.00132425,73762800000.0
MareNostrum 5,mpi-laplacian,9,cos,16384,0.00171436,0.00149023,78290300000.0
MareNostrum 5,mpi-laplacian,9,laplacian,2,1.26483,0.0478596,106115000.0
MareNostrum 5,mpi-laplacian,9,laplacian,4,0.690527,0.0383165,194370000.0
MareNostrum 5,mpi-laplacian,9,laplacian,8,0.349583,0.029099,383937000.0
MareNostrum 5,mpi-laplacian,9,laplacian,16,0.234531,0.0423684,572282000.0
