test,level,name,npe,real,comm_avg,speed
mpi-laplacian-2d,14,refine,4096,3.58852,3.42376,74803800.0
mpi-laplacian-2d,14,refine,8192,73.969,73.4562,3629030.0
mpi-laplacian-2d,14,refine,16384,194.997,194.16,1376610.0
mpi-laplacian-2d,14,restriction,32,0.146076,0.00803449,1837640000.0
mpi-laplacian-2d,14,restriction,64,0.118289,0.0328951,2269320000.0
mpi-laplacian-2d,14,restriction,128,0.0507475,0.0084886,5289630000.0
mpi-laplacian-2d,14,restriction,256,0.0314353,0.00329609,8539290000.0
mpi-laplacian-2d,14,restriction,512,0.0179511,0.00130968,14953700000.0
mpi-laplacian-2d,14,restriction,1024,0.00967286,0.0016719,27751400000.0
mpi-laplacian-2d,14,restriction,2048,0.00453087,0.000677648,59245900000.0
mpi-laplacian-2d,14,restriction,4096,0.00240699,0.000696322,111523000000.0
mpi-laplacian-2d,14,restriction,8192,0.000614669,0.000466698,436716000000.0
mpi-laplacian-2d,14,restriction,16384,0.000233329,0.000212472,1150460000000.0
mpi-laplacian-2d,14,sum,32,0.082251,0.0,3263610000.0
mpi-laplacian-2d,14,sum,64,0.0708238,0.0,3790190000.0
mpi-laplacian-2d,14,sum,128,0.0269173,0.0,9972580000.0
mpi-laplacian-2d,14,sum,256,0.0174801,0.0,15356700000.0
mpi-laplacian-2d,14,sum,512,0.0108454,0.0,24751100000.0
mpi-laplacian-2d,14,sum,1024,0.00602895,0.0,44524400000.0
mpi-laplacian-2d,14,sum,2048,0.00329867,0.0,81377000000.0
mpi-laplacian-2d,14,sum,4096,0.0019353,0.0,138705000000.0
mpi-laplacian-2d,14,sum,8192,0.00128782,0.0,208442000000.0
mpi-laplacian-2d,14,sum,16384,0.00124346,0.0,215877000000.0
